feature,importance,signed_value,importance_type
avg_temp_c,0.42505612220660544,0.42505612220660544,feature_importance
precip_duration_hr,0.2334485831415725,0.2334485831415725,feature_importance
daily_precip_mm,0.10719898465769387,0.10719898465769387,feature_importance
dow_sin,0.03652831211636664,0.03652831211636664,feature_importance
doy_cos,0.03301731469127093,0.03301731469127093,feature_importance
avg_rel_humidity_pct,0.02598627338393936,0.02598627338393936,feature_importance
precip_x_humidity,0.024360578675713025,0.024360578675713025,feature_importance
humidity_x_rain,0.02423590848733274,0.02423590848733274,feature_importance
is_weekend,0.02111182228098819,0.02111182228098819,feature_importance
trend_idx,0.018639789984294265,0.018639789984294265,feature_importance
temp_range_c,0.01635099202419172,0.01635099202419172,feature_importance
doy_sin,0.009311297741634111,0.009311297741634111,feature_importance
avg_wind_speed_m_s,0.007279555724236128,0.007279555724236128,feature_importance
month_cos,0.005308859408350457,0.005308859408350457,feature_importance
dow_cos,0.00479268787932537,0.00479268787932537,feature_importance
wind_x_rain,0.0029250546418536825,0.0029250546418536825,feature_importance
temp_x_rain,0.002461723872982807,0.002461723872982807,feature_importance
is_month_start,0.0009372421286895372,0.0009372421286895372,feature_importance
month_sin,0.0008357423944728725,0.0008357423944728725,feature_importance
is_rainy,0.0002046665219873001,0.0002046665219873001,feature_importance
is_month_end,8.488036498854365e-06,8.488036498854365e-06,feature_importance
