feature,coefficient,abs_coefficient
is_weekend,-32718.892687042295,32718.892687042295
season_winter,-14254.795316493713,14254.795316493713
season_spring,11057.068697112949,11057.068697112949
season_autumn,10684.386044838153,10684.386044838153
season_summer,-7486.65942545739,7486.65942545739
is_month_end,6010.993945802352,6010.993945802352
is_rainy,-5804.258913876112,5804.258913876112
precip_duration_hr,-2815.9160356981447,2815.9160356981447
is_month_start,-2682.231840951983,2682.231840951983
avg_temp_c,2649.0019892950663,2649.0019892950663
avg_wind_speed_m_s,2126.7456728687666,2126.7456728687666
month,-2028.3544440568724,2028.3544440568724
temp_range_c,1419.1202339350532,1419.1202339350532
max_temp_c,777.8110031154455,777.8110031154455
dayofweek,758.8547134459889,758.8547134459889
min_temp_c,-641.3092308196248,641.3092308196248
daily_precip_mm,-530.2686777716652,530.2686777716652
avg_rel_humidity_pct,-368.5288319774082,368.5288319774082
weekofyear,301.8093375436695,301.8093375436695
day,-70.59793231782166,70.59793231782166
year,1.3642420526593924e-11,1.3642420526593924e-11
