trend_idx,avg_temp_c,temp_range_c,precip_duration_hr,daily_precip_mm,avg_wind_speed_m_s,avg_rel_humidity_pct,is_rainy,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dow_sin,dow_cos,doy_sin,doy_cos,temp_x_rain,humidity_x_rain,precip_x_humidity,wind_x_rain
0,3.3,7.6,2.92,0.0,1.7,83.4,0,0,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.017201575418260506,0.9998520419557735,0.0,0.0,0.0,0.0
1,2.9,2.0999999999999996,1.58,0.0,1.6,72.6,0,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.03439806061360801,0.9994082116062598,0.0,0.0,0.0,0.0
2,1.8,5.1,6.25,0.6,1.6,80.4,1,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.051584366869408364,0.9986686402879997,1.8,80.4,48.24,1.6
3,1.4,8.0,0.0,0.0,1.9,74.3,0,0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.06875540848113941,0.9976335468520451,0.0,0.0,0.0,0.0
4,5.0,7.699999999999999,0.42,0.0,2.3,77.1,0,0,0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.08590610426133272,0.9963032375991965,0.0,0.0,0.0,0.0
5,0.7,7.9,3.08,2.4,2.2,63.9,1,1,0,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.10303137904317879,0.9946781061893646,0.7,63.9,153.35999999999999,2.2
6,-4.4,7.4,0.0,0.0,3.1,57.4,0,1,0,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.1201261651823505,0.9927586335250793,-0.0,0.0,0.0,0.0
7,-4.7,10.3,0.0,0.0,1.8,57.8,0,0,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.13718540405660057,0.9905453876091833,-0.0,0.0,0.0,0.0
8,-0.6,2.3,13.17,1.6,2.0,84.0,1,0,0,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.1542040475626894,0.988039023376751,-0.6,84.0,134.4,2.0
9,-1.0,7.3999999999999995,0.0,0.0,1.7,85.9,0,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.17117705961019986,0.985240282501282,-0.0,0.0,0.0,0.0
