date,daily_rental_count
2024-01-01,48927
2024-01-02,89691
2024-01-03,74474
2024-01-04,93416
2024-01-05,97979
2024-01-06,59055
2024-01-07,32920
2024-01-08,67260
2024-01-09,39401
2024-01-10,71631
2024-01-11,84444
2024-01-12,86810
2024-01-13,66225
2024-01-14,29982
2024-01-15,72929
2024-01-16,81422
2024-01-17,37840
2024-01-18,78568
2024-01-19,93429
2024-01-20,43165
2024-01-21,38277
2024-01-22,50137
2024-01-23,45183
2024-01-24,52637
2024-01-25,64439
2024-01-26,77438
2024-01-27,59662
2024-01-28,50029
2024-01-29,81334
2024-01-30,89385
2024-01-31,95804
2024-02-01,94236
2024-02-02,97692
2024-02-03,69843
2024-02-04,75398
2024-02-05,29119
2024-02-06,77983
2024-02-07,86243
2024-02-08,90598
2024-02-09,48388
2024-02-10,35426
2024-02-11,44339
2024-02-12,67716
2024-02-13,108884
2024-02-14,127297
2024-02-15,58115
2024-02-16,103469
2024-02-17,92575
2024-02-18,40414
2024-02-19,41446
2024-02-20,56697
2024-02-21,10076
2024-02-22,30867
2024-02-23,78765
2024-02-24,57788
2024-02-25,51440
2024-02-26,101612
2024-02-27,107453
2024-02-28,112216
2024-02-29,105034
2024-03-01,46525
2024-03-02,56406
2024-03-03,67584
2024-03-04,111299
2024-03-05,113837
2024-03-06,120077
2024-03-07,100894
2024-03-08,102487
2024-03-09,80520
2024-03-10,83820
2024-03-11,117935
2024-03-12,82157
2024-03-13,124399
2024-03-14,130647
2024-03-15,134727
2024-03-16,122311
2024-03-17,90798
2024-03-18,127068
2024-03-19,105665
2024-03-20,115264
2024-03-21,125493
2024-03-22,83840
2024-03-23,128626
2024-03-24,147852
2024-03-25,60341
2024-03-26,90522
2024-03-27,145906
2024-03-28,91081
2024-03-29,95119
2024-03-30,115805
2024-03-31,131051
2024-04-01,154789
2024-04-02,173218
2024-04-03,157061
2024-04-04,174305
2024-04-05,181191
2024-04-06,166152
2024-04-07,160750
2024-04-08,171080
2024-04-09,180514
2024-04-10,158335
2024-04-11,163933
2024-04-12,184146
2024-04-13,168619
2024-04-14,152896
2024-04-15,64522
2024-04-16,126106
2024-04-17,168806
2024-04-18,175744
2024-04-19,181793
2024-04-20,42622
2024-04-21,134318
2024-04-22,182361
2024-04-23,156313
2024-04-24,112963
2024-04-25,176024
2024-04-26,186288
2024-04-27,167428
2024-04-28,153389
2024-04-29,185981
2024-04-30,188661
2024-05-01,187713
2024-05-02,192006
2024-05-03,196468
2024-05-04,162236
2024-05-05,14803
2024-05-06,26706
2024-05-07,76008
2024-05-08,183181
2024-05-09,184125
2024-05-10,195243
2024-05-11,64192
2024-05-12,153309
2024-05-13,188906
2024-05-14,198430
2024-05-15,56366
2024-05-16,177689
2024-05-17,196964
2024-05-18,176165
2024-05-19,157798
2024-05-20,184025
2024-05-21,192131
2024-05-22,192485
2024-05-23,191482
2024-05-24,195660
2024-05-25,173276
2024-05-26,64870
2024-05-27,185189
2024-05-28,199434
2024-05-29,195623
2024-05-30,193041
2024-05-31,192306
2024-06-01,173591
2024-06-02,159697
2024-06-03,193053
2024-06-04,199666
2024-06-05,198583
2024-06-06,155017
2024-06-07,181310
2024-06-08,112297
2024-06-09,149146
2024-06-10,190224
2024-06-11,190585
2024-06-12,191038
2024-06-13,185467
2024-06-14,189944
2024-06-15,139913
2024-06-16,143645
2024-06-17,189298
2024-06-18,190082
2024-06-19,181663
2024-06-20,180959
2024-06-21,186124
2024-06-22,62003
2024-06-23,110471
2024-06-24,182858
2024-06-25,200205
2024-06-26,192192
2024-06-27,189922
2024-06-28,183350
2024-06-29,102866
2024-06-30,99161
2024-07-01,182407
2024-07-02,39423
2024-07-03,164917
2024-07-04,158337
2024-07-05,170993
2024-07-06,95363
2024-07-07,82462
2024-07-08,49088
2024-07-09,131038
2024-07-10,157081
2024-07-11,176881
2024-07-12,178473
2024-07-13,132044
2024-07-14,116653
2024-07-15,166494
2024-07-16,94003
2024-07-17,52001
2024-07-18,42867
2024-07-19,158621
2024-07-20,84490
2024-07-21,97479
2024-07-22,85676
2024-07-23,113318
2024-07-24,126759
2024-07-25,131192
2024-07-26,117452
2024-07-27,76401
2024-07-28,102034
2024-07-29,138818
2024-07-30,150508
2024-07-31,149866
2024-08-01,145486
2024-08-02,140153
2024-08-03,105222
2024-08-04,89613
2024-08-05,123156
2024-08-06,136539
2024-08-07,141041
2024-08-08,137395
2024-08-09,139483
2024-08-10,114530
2024-08-11,99629
2024-08-12,143228
2024-08-13,134073
2024-08-14,132729
2024-08-15,102409
2024-08-16,140849
2024-08-17,105962
2024-08-18,93508
2024-08-19,143003
2024-08-20,146663
2024-08-21,73097
2024-08-22,125877
2024-08-23,151307
2024-08-24,105513
2024-08-25,101722
2024-08-26,142235
2024-08-27,149070
2024-08-28,166240
2024-08-29,166666
2024-08-30,167332
2024-08-31,134541
2024-09-01,125168
2024-09-02,153794
2024-09-03,178905
2024-09-04,176850
2024-09-05,142474
2024-09-06,150537
2024-09-07,148976
2024-09-08,131430
2024-09-09,170528
2024-09-10,169982
2024-09-11,154081
2024-09-12,62022
2024-09-13,75825
2024-09-14,115906
2024-09-15,102885
2024-09-16,89288
2024-09-17,79401
2024-09-18,101366
2024-09-19,155488
2024-09-20,49128
2024-09-21,112108
2024-09-22,159563
2024-09-23,188295
2024-09-24,191167
2024-09-25,187730
2024-09-26,176100
2024-09-27,191572
2024-09-28,168997
2024-09-29,154565
2024-09-30,186557
2024-10-01,131748
2024-10-02,176839
2024-10-03,154004
2024-10-04,181960
2024-10-05,165475
2024-10-06,108635
2024-10-07,173885
2024-10-08,182681
2024-10-09,160339
2024-10-10,180123
2024-10-11,189281
2024-10-12,161684
2024-10-13,142163
2024-10-14,171312
2024-10-15,155619
2024-10-16,181097
2024-10-17,181160
2024-10-18,78684
2024-10-19,130845
2024-10-20,122488
2024-10-21,154414
2024-10-22,26820
2024-10-23,143678
2024-10-24,159376
2024-10-25,166456
2024-10-26,145496
2024-10-27,110954
2024-10-28,159280
2024-10-29,154503
2024-10-30,167862
2024-10-31,167814
2024-11-01,166375
2024-11-02,146373
2024-11-03,132609
2024-11-04,153234
2024-11-05,145634
2024-11-06,138912
2024-11-07,140431
2024-11-08,146638
2024-11-09,125837
