date,daily_rental_count,avg_temp_c,min_temp_c,max_temp_c,precip_duration_hr,daily_precip_mm,avg_wind_speed_m_s,avg_rel_humidity_pct,year,month,day,dayofweek,dayofyear,weekofyear,is_weekend,is_month_start,is_month_end,is_rainy,temp_range_c,trend_idx,month_sin,month_cos,dow_sin,dow_cos,doy_sin,doy_cos,temp_x_rain,humidity_x_rain,precip_x_humidity,wind_x_rain,season
2024-01-01,48927,3.3,-0.3,7.3,2.92,0.0,1.7,83.4,2024,1,1,0,1,1,0,1,0,0,7.6,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.017201575418260506,0.9998520419557735,0.0,0.0,0.0,0.0,winter
2024-01-02,89691,2.9,2.2,4.3,1.58,0.0,1.6,72.6,2024,1,2,1,2,1,0,0,0,0,2.0999999999999996,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.03439806061360801,0.9994082116062598,0.0,0.0,0.0,0.0,winter
2024-01-03,74474,1.8,-1.1,4.0,6.25,0.6,1.6,80.4,2024,1,3,2,3,1,0,0,0,1,5.1,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.051584366869408364,0.9986686402879997,1.8,80.4,48.24,1.6,winter
2024-01-04,93416,1.4,-3.3,4.7,0.0,0.0,1.9,74.3,2024,1,4,3,4,1,0,0,0,0,8.0,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.06875540848113941,0.9976335468520451,0.0,0.0,0.0,0.0,winter
2024-01-05,97979,5.0,1.4,9.1,0.42,0.0,2.3,77.1,2024,1,5,4,5,1,0,0,0,0,7.699999999999999,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.08590610426133272,0.9963032375991965,0.0,0.0,0.0,0.0,winter
2024-01-06,59055,0.7,-2.7,5.2,3.08,2.4,2.2,63.9,2024,1,6,5,6,1,1,0,0,1,7.9,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.10303137904317879,0.9946781061893646,0.7,63.9,153.35999999999999,2.2,winter
2024-01-07,32920,-4.4,-8.3,-0.9,0.0,0.0,3.1,57.4,2024,1,7,6,7,1,1,0,0,0,7.4,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.1201261651823505,0.9927586335250793,-0.0,0.0,0.0,0.0,winter
2024-01-08,67260,-4.7,-10.3,0.0,0.0,0.0,1.8,57.8,2024,1,8,0,8,2,0,0,0,0,10.3,7,0.49999999999999994,0.8660254037844387,0.0,1.0,0.13718540405660057,0.9905453876091833,-0.0,0.0,0.0,0.0,winter
2024-01-09,39401,-0.6,-1.9,0.4,13.17,1.6,2.0,84.0,2024,1,9,1,9,2,0,0,0,1,2.3,8,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.1542040475626894,0.988039023376751,-0.6,84.0,134.4,2.0,winter
2024-01-10,71631,-1.0,-4.1,3.3,0.0,0.0,1.7,85.9,2024,1,10,2,10,2,0,0,0,0,7.3999999999999995,9,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.17117705961019986,0.985240282501282,-0.0,0.0,0.0,0.0,winter
2024-01-11,84444,1.7,-2.4,4.5,0.0,0.0,1.9,80.6,2024,1,11,3,11,2,0,0,0,0,6.9,10,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.18809941761179758,0.9821499931752291,0.0,0.0,0.0,0.0,winter
2024-01-12,86810,0.9,-1.4,4.2,0.0,0.0,2.3,61.6,2024,1,12,4,12,2,0,0,0,0,5.6,11,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.20496611396949532,0.9787690698649216,0.0,0.0,0.0,0.0,winter
2024-01-13,66225,0.4,-3.8,6.4,0.0,0.0,1.4,44.3,2024,1,13,5,13,2,1,0,0,0,10.2,12,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.22177215755648186,0.975098513039961,0.0,0.0,0.0,0.0,winter
2024-01-14,29982,-0.6,-3.3,2.4,3.67,3.1,2.1,74.5,2024,1,14,6,14,2,1,0,0,1,5.699999999999999,13,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.23851257519407648,0.9711394088771653,-0.6,74.5,230.95000000000002,2.1,winter
2024-01-15,72929,-3.7,-6.9,0.9,0.0,0.0,2.5,51.3,2024,1,15,0,15,3,0,0,0,0,7.800000000000001,14,0.49999999999999994,0.8660254037844387,0.0,1.0,0.2551824131233728,0.9668929289391521,-0.0,0.0,0.0,0.0,winter
2024-01-16,81422,-2.1,-7.2,4.3,0.0,0.0,1.5,49.8,2024,1,16,1,16,3,0,0,0,0,11.5,15,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.2717767384711357,0.9623603298276545,-0.0,0.0,0.0,0.0,winter
2024-01-17,37840,0.6,-2.3,1.9,13.17,9.7,2.0,78.5,2024,1,17,2,17,3,0,0,0,1,4.199999999999999,16,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.2882906407095177,0.9575429528116719,0.6,78.5,761.4499999999999,2.0,winter
2024-01-18,78568,4.5,1.4,9.4,2.58,0.5,2.4,81.5,2024,1,18,3,18,3,0,0,0,1,8.0,17,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.3047192331091634,0.9524422234305676,4.5,81.5,40.75,2.4,winter
2024-01-19,93429,5.4,4.0,9.0,0.0,0.0,4.5,65.4,2024,1,19,4,19,3,0,0,0,0,5.0,18,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.321057654185271,0.9470596510722283,0.0,0.0,0.0,0.0,winter
2024-01-20,43165,3.4,1.9,4.9,11.17,0.4,5.3,69.5,2024,1,20,5,20,3,1,0,0,1,3.0000000000000004,19,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.3373010691361842,0.9413968285264122,3.4,69.5,27.8,5.3,winter
2024-01-21,38277,1.7,-2.4,4.3,8.58,0.4,2.5,75.8,2024,1,21,6,21,3,1,0,0,1,6.699999999999999,20,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.3534446712740877,0.9354554315134164,1.7,75.8,30.32,2.5,winter
