date,avg_temp_c,min_temp_c,max_temp_c,precip_duration_hr,daily_precip_mm,avg_wind_speed_m_s,avg_rel_humidity_pct
2024-01-01,3.3,-0.3,7.3,2.92,0.0,1.7,83.4
2024-01-02,2.9,2.2,4.3,1.58,0.0,1.6,72.6
2024-01-03,1.8,-1.1,4.0,6.25,0.6,1.6,80.4
2024-01-04,1.4,-3.3,4.7,0.0,0.0,1.9,74.3
2024-01-05,5.0,1.4,9.1,0.42,0.0,2.3,77.1
2024-01-06,0.7,-2.7,5.2,3.08,2.4,2.2,63.9
2024-01-07,-4.4,-8.3,-0.9,0.0,0.0,3.1,57.4
2024-01-08,-4.7,-10.3,0.0,0.0,0.0,1.8,57.8
2024-01-09,-0.6,-1.9,0.4,13.17,1.6,2.0,84.0
2024-01-10,-1.0,-4.1,3.3,0.0,0.0,1.7,85.9
2024-01-11,1.7,-2.4,4.5,0.0,0.0,1.9,80.6
2024-01-12,0.9,-1.4,4.2,0.0,0.0,2.3,61.6
2024-01-13,0.4,-3.8,6.4,0.0,0.0,1.4,44.3
2024-01-14,-0.6,-3.3,2.4,3.67,3.1,2.1,74.5
2024-01-15,-3.7,-6.9,0.9,0.0,0.0,2.5,51.3
2024-01-16,-2.1,-7.2,4.3,0.0,0.0,1.5,49.8
2024-01-17,0.6,-2.3,1.9,13.17,9.7,2.0,78.5
2024-01-18,4.5,1.4,9.4,2.58,0.5,2.4,81.5
2024-01-19,5.4,4.0,9.0,0.0,0.0,4.5,65.4
2024-01-20,3.4,1.9,4.9,11.17,0.4,5.3,69.5
2024-01-21,1.7,-2.4,4.3,8.58,0.4,2.5,75.8
2024-01-22,-8.7,-11.9,-2.4,8.83,0.2,4.1,65.6
2024-01-23,-11.7,-14.0,-8.2,0.0,0.0,3.9,53.6
2024-01-24,-8.0,-11.2,-3.7,0.0,0.0,3.3,52.0
2024-01-25,-5.3,-9.7,-0.5,0.0,0.0,2.1,47.8
2024-01-26,-1.7,-6.9,4.0,0.0,0.0,1.9,62.5
2024-01-27,-0.5,-4.6,4.6,0.0,0.0,1.8,70.0
2024-01-28,-1.5,-5.0,3.8,0.0,0.0,1.9,62.3
2024-01-29,-0.4,-4.8,4.6,0.0,0.0,1.7,66.6
2024-01-30,1.4,-4.0,8.1,0.0,0.0,1.4,59.3
2024-01-31,4.7,0.7,10.6,0.0,0.0,1.9,54.1
2024-02-01,2.4,-1.3,8.2,0.0,0.0,2.1,64.9
2024-02-02,3.1,0.7,7.9,0.0,0.0,2.1,65.5
2024-02-03,4.7,-0.2,8.3,1.83,0.0,2.2,63.9
2024-02-04,7.3,3.7,12.2,0.0,0.0,1.8,60.9
2024-02-05,2.7,0.1,6.6,21.0,3.9,5.0,81.8
2024-02-06,1.2,0.0,2.9,7.83,0.2,2.2,83.5
2024-02-07,0.6,-0.9,2.7,3.25,0.0,2.1,76.6
2024-02-08,0.6,-3.0,6.2,0.0,0.0,1.6,66.9
2024-02-09,1.1,-2.5,6.1,0.0,0.0,2.2,66.8
2024-02-10,1.7,-1.5,7.4,0.0,0.0,1.9,69.4
2024-02-11,1.0,-3.1,5.5,1.5,0.0,2.2,70.6
2024-02-12,3.5,-2.9,10.5,0.0,0.0,1.8,62.8
2024-02-13,8.2,2.0,13.7,0.0,0.0,2.5,70.6
2024-02-14,12.9,8.8,18.3,0.0,0.0,2.2,76.4
2024-02-15,4.5,0.6,11.6,13.33,10.9,2.9,89.9
2024-02-16,2.3,-1.5,8.1,0.0,0.0,1.8,72.4
2024-02-17,4.4,-1.2,11.7,0.0,0.0,1.7,73.5
2024-02-18,6.2,1.2,9.4,10.08,17.1,2.8,81.4
2024-02-19,9.1,4.2,11.9,19.5,8.9,2.3,95.8
2024-02-20,4.3,2.8,6.8,10.08,2.6,3.4,86.3
2024-02-21,1.9,0.0,4.0,24.0,17.8,5.2,92.5
2024-02-22,0.2,-1.1,1.6,17.17,8.8,4.2,84.5
2024-02-23,1.8,-1.0,6.1,3.83,0.4,3.5,68.8
2024-02-24,2.0,-1.3,5.9,6.75,2.3,2.9,68.6
2024-02-25,2.8,0.8,5.9,10.42,1.8,2.0,80.8
2024-02-26,3.8,-1.2,9.7,0.0,0.0,1.9,65.3
2024-02-27,5.3,1.2,9.8,0.0,0.0,3.0,52.0
2024-02-28,6.4,3.2,10.1,0.0,0.0,2.1,59.5
2024-02-29,4.8,0.3,9.6,0.0,0.0,2.2,63.6
2024-03-01,-4.1,-7.1,0.3,0.0,0.0,4.4,38.9
2024-03-02,-0.5,-8.1,4.1,2.0,0.0,3.2,60.4
2024-03-03,4.0,0.4,7.8,0.0,0.0,2.9,71.5
2024-03-04,5.4,-1.8,11.7,0.0,0.0,1.6,45.5
2024-03-05,8.0,5.5,11.0,0.0,0.0,2.9,45.1
2024-03-06,6.2,2.5,10.3,0.0,0.0,2.8,58.8
2024-03-07,3.9,1.2,8.2,3.83,2.1,3.0,62.4
2024-03-08,2.1,-0.7,6.5,0.0,0.0,3.4,50.6
2024-03-09,2.0,-2.1,7.1,0.0,0.0,2.7,50.8
2024-03-10,4.2,-1.8,10.6,0.0,0.0,2.1,54.0
2024-03-11,6.2,2.0,10.8,0.0,0.0,2.3000000000000003,62.3
2024-03-12,6.6,4.4,10.0,5.88,2.1,2.5,78.0
2024-03-13,6.5,1.3,12.0,0.0,0.0,2.7,57.6
2024-03-14,8.5,3.4,15.4,0.0,0.0,2.5,58.3
2024-03-15,8.9,4.0,14.5,0.0,0.0,2.3,68.5
2024-03-16,10.9,4.4,18.3,0.0,0.0,2.1,54.5
2024-03-17,8.8,5.4,12.2,0.75,0.1,3.7,48.0
2024-03-18,7.1,1.4,13.2,0.0,0.0,2.4,28.6
2024-03-19,6.7,3.9,9.8,1.5,0.2,3.7,60.8
2024-03-20,4.4,1.2,8.7,0.0,0.0,3.4,46.5
2024-03-21,5.0,-1.2,11.5,0.0,0.0,2.0,46.5
2024-03-22,10.4,3.8,15.2,7.25,5.4,3.4,57.0
2024-03-23,13.0,9.3,18.2,2.75,0.1,2.3,66.0
2024-03-24,16.2,10.5,23.4,0.0,0.0,2.4,42.5
2024-03-25,10.6,6.7,14.5,11.08,5.1,4.0,63.0
2024-03-26,7.4,3.2,12.4,10.42,11.5,2.6,77.3
2024-03-27,10.4,4.4,16.2,0.0,0.0,2.0,68.4
2024-03-28,10.3,7.8,12.2,10.83,1.9,1.8,81.8
2024-03-29,7.6,5.0,12.3,4.75,1.4,2.8,73.0
2024-03-30,8.8,3.0,15.6,0.0,0.0,2.4,56.5
2024-03-31,10.6,3.4,17.7,0.0,0.0,1.9,39.9
2024-04-01,12.2,5.5,19.0,0.0,0.0,1.8,32.0
2024-04-02,15.4,7.0,23.9,0.0,0.0,2.0,37.5
2024-04-03,16.6,13.9,19.7,0.25,0.0,1.8,55.9
2024-04-04,15.5,12.4,20.3,0.0,0.0,2.9,52.1
2024-04-05,14.0,10.2,18.8,0.0,0.0,2.5,51.3
2024-04-06,12.7,8.0,18.9,0.0,0.0,1.9,48.6
2024-04-07,14.8,7.7,23.4,0.0,0.0,2.0,33.4
2024-04-08,16.2,11.0,22.8,0.0,0.0,2.1,46.5
2024-04-09,15.3,10.6,20.8,0.0,0.0,3.5,32.4
2024-04-10,13.8,10.2,18.5,0.0,0.0,2.6,62.6
2024-04-11,15.5,11.7,21.1,0.83,0.0,1.8,61.0
2024-04-12,17.2,12.0,24.2,0.0,0.0,2.1,59.6
2024-04-13,19.1,11.2,27.3,0.0,0.0,1.9,52.4
2024-04-14,20.8,13.6,29.4,0.0,0.0,1.9,47.1
2024-04-15,16.0,11.7,20.0,12.17,17.1,2.5,77.4
2024-04-16,13.3,11.5,17.9,6.08,2.3,2.5,82.6
2024-04-17,15.0,9.7,21.8,0.0,0.0,2.2,65.3
2024-04-18,17.3,10.7,24.9,0.0,0.0,2.2,53.3
2024-04-19,17.6,11.5,24.3,0.0,0.0,2.1,51.8
2024-04-20,14.9,13.0,17.2,14.0,4.8,3.0,77.3
2024-04-21,17.2,13.3,21.7,0.0,0.0,3.8,65.5
2024-04-22,18.8,15.0,24.1,0.0,0.0,3.1,49.4
2024-04-23,17.3,13.2,24.2,3.33,0.0,3.6,55.0
2024-04-24,13.2,11.0,16.5,7.0,9.0,3.0,80.1
2024-04-25,14.4,10.3,20.8,0.0,0.0,1.9,75.6
2024-04-26,17.8,11.4,26.0,0.0,0.0,1.9,61.1
2024-04-27,18.2,11.5,26.2,0.0,0.0,1.9,56.4
2024-04-28,20.7,13.0,28.9,0.0,0.0,1.6,53.5
2024-04-29,20.9,16.9,26.1,0.0,0.0,3.0,48.0
2024-04-30,18.6,16.0,22.5,0.0,0.0,2.2,62.5
2024-05-01,18.5,13.9,24.0,0.0,0.0,2.4,46.0
2024-05-02,18.1,12.4,23.7,0.0,0.0,2.4,48.4
2024-05-03,19.7,12.2,27.9,0.0,0.0,1.9,46.9
2024-05-04,21.4,14.6,28.5,0.17,0.0,1.9,44.8
2024-05-05,17.8,15.7,20.6,20.08,48.3,2.5,87.4
2024-05-06,13.9,13.4,15.7,20.17,12.3,3.1,92.9
2024-05-07,13.3,12.2,15.0,16.17,2.4,3.0,77.3
2024-05-08,14.7,9.0,21.4,0.0,0.0,2.3,58.8
2024-05-09,16.1,10.9,21.8,0.0,0.0,2.9,63.6
2024-05-10,17.9,12.5,23.8,0.0,0.0,2.6,55.6
2024-05-11,17.0,14.0,22.0,9.0,31.7,3.5,80.0
2024-05-12,16.6,11.9,21.6,0.0,0.0,2.7,65.0
2024-05-13,18.3,11.9,24.5,0.0,0.0,2.3,51.9
2024-05-14,18.8,12.7,24.7,0.0,0.0,2.4,43.3
2024-05-15,12.6,7.2,18.8,10.5,20.6,2.7,74.3
2024-05-16,13.7,6.9,19.8,1.75,0.1,3.1,61.3
2024-05-17,18.3,10.8,24.9,0.0,0.0,2.2,63.6
2024-05-18,20.7,16.0,26.5,0.0,0.0,2.0,65.3
2024-05-19,21.5,15.9,27.9,0.0,0.0,1.9,63.1
2024-05-20,19.4,16.8,22.8,0.0,0.0,2.3,75.0
2024-05-21,21.7,16.3,28.3,0.0,0.0,1.9,68.1
2024-05-22,20.5,16.4,25.5,0.0,0.0,2.3,68.9
2024-05-23,20.2,15.8,26.4,0.0,0.0,2.5,67.9
2024-05-24,20.1,15.7,24.7,0.0,0.0,2.1,75.1
2024-05-25,21.4,18.7,24.7,0.0,0.0,1.8,62.8
2024-05-26,19.9,17.0,23.7,8.33,8.7,2.7,74.3
2024-05-27,18.5,14.1,22.6,0.0,0.0,3.3,63.4
2024-05-28,20.4,14.3,26.1,0.0,0.0,2.5,54.8
2024-05-29,21.2,15.4,26.8,0.0,0.0,2.1,51.6
2024-05-30,20.7,16.2,24.6,0.0,0.0,1.6,49.1
2024-05-31,20.4,16.9,25.4,1.75,1.0,2.6,60.0
2024-06-01,20.7,17.5,25.2,0.67,0.0,2.8,61.3
2024-06-02,20.4,15.7,25.8,0.0,0.0,2.7,51.9
2024-06-03,22.2,15.7,28.7,0.0,0.0,2.4,47.4
2024-06-04,22.8,16.3,29.3,0.0,0.0,2.4,42.1
2024-06-05,23.6,18.1,30.1,0.0,0.0,1.9,53.9
2024-06-06,24.1,19.3,31.4,0.0,0.0,2.0,54.3
2024-06-07,23.1,18.3,28.0,4.17,0.8,1.9,54.3
2024-06-08,20.3,17.9,25.0,11.5,16.9,1.6,79.5
2024-06-09,22.9,17.4,28.8,0.0,0.0,1.8,68.9
2024-06-10,24.7,19.0,31.1,0.0,0.0,2.2,66.3
2024-06-11,25.4,21.7,31.6,0.0,0.0,2.4,62.4
2024-06-12,24.8,19.2,31.8,0.0,0.0,2.1,60.8
2024-06-13,26.4,20.0,32.8,0.0,0.0,1.8,51.4
2024-06-14,26.3,21.4,33.0,0.0,0.0,2.3,56.0
2024-06-15,24.2,21.8,28.2,6.0,6.1,1.9,72.3
2024-06-16,24.3,19.9,29.5,0.0,0.0,2.8,58.4
2024-06-17,24.8,18.9,30.2,0.0,0.0,2.4,48.4
2024-06-18,26.0,20.4,32.9,0.0,0.0,2.1,59.5
2024-06-19,28.8,21.4,35.8,0.0,0.0,1.6,54.3
2024-06-20,29.4,23.4,35.4,0.0,0.0,2.0,45.1
2024-06-21,28.1,22.9,33.9,0.0,0.0,2.0,49.8
2024-06-22,24.2,22.6,26.1,13.67,16.5,2.0,80.6
2024-06-23,25.1,22.5,30.1,8.42,5.1,2.2,79.5
2024-06-24,24.3,21.2,27.9,0.33,0.0,2.9,70.4
2024-06-25,22.9,19.1,27.2,0.0,0.0,3.0,61.9
2024-06-26,24.9,18.9,31.6,0.0,0.0,1.9,61.0
2024-06-27,26.3,20.6,31.6,0.0,0.0,1.6,55.0
2024-06-28,26.6,21.3,32.5,0.0,0.0,2.1,54.6
2024-06-29,26.7,21.6,32.3,5.42,38.3,2.2,65.1
2024-06-30,23.5,22.0,24.9,7.08,32.2,3.7,88.5
2024-07-01,26.3,22.0,31.3,0.0,0.0,1.8,69.1
2024-07-02,23.2,21.9,25.2,17.25,65.1,2.8,90.0
2024-07-03,24.7,23.6,25.9,3.67,0.8,3.6,80.3
2024-07-04,26.8,23.2,30.6,3.13,3.6,3.0,74.8
2024-07-05,23.4,21.3,26.1,6.92,4.1,3.3,80.5
2024-07-06,25.1,22.1,30.0,5.92,2.8,3.2,84.1
2024-07-07,24.4,21.5,28.2,5.17,28.7,1.8,85.1
2024-07-08,23.8,23.1,24.5,17.83,21.1,1.8,93.4
2024-07-09,24.5,22.7,26.7,6.17,0.3,1.8,86.9
2024-07-10,26.6,22.7,31.1,3.92,1.4,2.2,77.1
2024-07-11,25.7,23.3,28.9,0.0,0.0,2.1,79.6
2024-07-12,25.6,21.8,30.2,0.0,0.0,1.6,79.5
2024-07-13,28.1,23.5,33.3,0.5,0.0,1.9,70.0
2024-07-14,28.4,24.9,32.1,0.47,0.4,2.4,65.9
2024-07-15,28.4,24.5,31.3,0.17,0.0,2.4,64.6
2024-07-16,27.0,24.6,30.7,9.93,17.0,2.3,78.4
2024-07-17,25.4,24.1,28.1,18.58,98.8,2.5,91.6
2024-07-18,24.3,23.1,25.6,17.92,128.8,2.2,95.3
2024-07-19,27.0,24.2,30.8,3.83,0.1,2.2,80.1
2024-07-20,27.2,25.1,30.6,4.42,14.9,2.7,80.4
2024-07-21,26.5,22.5,29.8,8.47,8.5,3.6,83.6
2024-07-22,26.6,24.3,27.9,10.33,79.9,3.1,89.0
2024-07-23,26.4,25.8,27.3,6.33,2.0,3.2,87.9
2024-07-24,28.1,26.0,30.9,6.25,14.7,2.6,85.0
2024-07-25,28.8,25.4,32.2,2.67,25.3,1.8,79.8
2024-07-26,28.7,25.2,32.7,3.0,5.5,2.3,81.9
2024-07-27,28.9,27.5,31.7,4.92,33.5,1.7,83.6
2024-07-28,29.2,27.3,32.2,0.33,0.0,3.2,76.0
2024-07-29,27.4,26.8,27.8,5.5,0.0,3.8,84.0
2024-07-30,28.6,26.3,31.9,0.0,0.0,2.8,78.8
2024-07-31,29.4,27.0,33.3,0.0,0.0,2.6,74.5
2024-08-01,29.9,27.3,33.2,1.42,0.3,2.6,75.5
2024-08-02,29.6,28.2,32.5,0.0,0.0,2.6,79.4
2024-08-03,30.2,27.2,34.2,0.0,0.0,2.2,75.0
2024-08-04,31.8,27.3,36.2,0.0,0.0,1.6,69.3
2024-08-05,30.0,26.9,33.7,3.53,1.3,1.9,75.5
2024-08-06,29.5,25.6,33.5,0.75,0.0,1.9,74.8
2024-08-07,29.6,27.2,33.4,1.33,3.4,1.7,72.0
2024-08-08,28.5,26.9,31.6,1.83,0.0,1.6,77.5
2024-08-09,29.3,25.6,33.6,0.0,0.0,1.6,74.1
2024-08-10,30.0,26.4,33.6,0.0,0.0,1.7,70.8
2024-08-11,30.8,27.8,34.4,0.0,0.0,1.8,67.8
2024-08-12,31.1,28.2,34.1,0.0,0.0,1.9,70.5
2024-08-13,31.3,28.1,36.4,2.08,0.0,1.8,70.0
2024-08-14,30.0,27.3,34.9,1.75,3.0,1.9,73.0
2024-08-15,29.2,26.7,34.6,3.25,6.4,1.8,74.6
2024-08-16,29.8,26.8,34.3,0.25,0.0,2.0,69.4
2024-08-17,29.8,27.2,34.0,1.5,11.0,1.7,71.0
2024-08-18,29.5,27.0,33.9,1.08,0.0,2.0,73.8
2024-08-19,29.7,26.3,35.3,0.92,2.3,1.9,72.3
2024-08-20,31.4,27.0,35.4,0.25,0.0,2.3,68.3
2024-08-21,28.4,26.9,30.8,12.75,42.2,3.2,85.9
2024-08-22,28.6,27.1,30.3,4.42,0.6,3.4,79.9
2024-08-23,28.4,26.4,31.8,0.5,0.0,2.7,73.5
2024-08-24,27.6,25.1,30.9,3.42,2.0,1.4,78.8
2024-08-25,28.5,24.9,32.7,0.0,0.0,1.4,76.6
2024-08-26,28.1,25.6,30.6,0.25,0.0,1.5,77.8
2024-08-27,26.5,24.6,30.3,5.58,0.3,1.9,69.8
2024-08-28,28.2,23.0,33.2,0.0,0.0,2.9,62.1
2024-08-29,28.4,23.4,33.5,0.0,0.0,3.1,61.0
2024-08-30,28.0,23.7,32.9,0.0,0.0,2.4,64.0
2024-08-31,27.6,22.6,33.0,0.0,0.0,1.9,65.6
2024-09-01,27.1,24.6,31.6,0.0,0.0,2.0,64.9
2024-09-02,24.5,22.2,26.9,5.42,2.7,2.6,73.6
2024-09-03,27.0,23.2,32.0,0.0,0.0,2.9,54.5
2024-09-04,27.9,23.2,33.3,0.0,0.0,2.2,61.4
